Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
36,13296257,"Amr El3RAB","2025-02-04 20:00:10",1.00000,3,el3rab
37,13296523,"Hugo Barthélemy","2025-02-04 21:20:50",1.00000,2,hugobarthlemy
38,13297601,"Charlie #15","2025-02-05 03:35:56",1.00000,3,charliess
39,13140740,"Sanjid Hasan","2025-02-05 19:10:04",1.00000,5,sanjidh090
40,13301625,"ruo-ning wu","2025-02-06 00:13:47",1.00000,3,ruoningwu
41,13302288,"Li Jiang #3","2025-02-06 05:06:17",1.00000,3,lijiang1
42,13306156,"Chun-Yueh Lin","2025-02-06 22:11:01",1.00000,3,chunyuehlin
43,13309688,"Zhaoyi Zhuang","2025-02-07 15:36:31",1.00000,3,zhaoyizhuang
44,13309992,"Chengwei Chen","2025-02-07 17:03:22",1.00000,3,ccwiris
45,13310744,"Jordan Schwertner","2025-02-07 21:45:35",1.00000,1,jordanschwertner
46,13314081,"TTT #2","2025-02-08 16:05:33",1.00000,3,tzuchuantsai
47,13315173,"Yue Ying","2025-02-09 00:59:48",1.00000,3,yuecherryying
48,13315216,"Xuxin Wu","2025-02-09 01:32:26",1.00000,3,xuxinwu
49,13318354,"Yu Fan","2025-02-10 00:42:07",1.00000,3,yuflee
50,3853565,"Gloria Shen","2025-02-10 03:12:41",1.00000,3,gloriashen
51,13318894,"Pavan Kothawade","2025-02-10 04:35:16",1.00000,3,pavankothawade
52,13319835,"Xi Zhang #3","2025-02-10 08:57:48",1.00000,3,xiz5213
53,13321259,"Fuyao Wang","2025-02-10 14:56:58",1.00000,3,fuyaowang
54,13321312,"Krishna Sumanth Chanda","2025-02-10 15:08:43",1.00000,3,krishnasumanthchanda
55,13321739,"MINNI BIN","2025-02-10 16:53:15",1.00000,3,minnibin
56,13321758,"Sandeep Kunwar #2","2025-02-10 17:14:47",1.00000,4,skunwar123
57,13321864,nicknicknigel,"2025-02-10 17:35:36",1.00000,2,nicknicknigel
58,13321912,SauravKum,"2025-02-10 17:40:59",1.00000,2,sauravkum
59,13321944,"Martin Highland","2025-02-10 17:48:10",1.00000,2,martinhighland
60,13321956,"Asher Lockhead","2025-02-10 17:50:46",1.00000,2,asherlockhead
61,13321997,"Serene Saha","2025-02-10 18:04:57",1.00000,2,serenesaha
62,13322022,"Xiaoxi Qi","2025-02-10 18:08:37",1.00000,3,xiaoxiqi
63,13322024,"Alka Tiwary","2025-02-10 18:08:46",1.00000,1,alkatiwary
64,13322106,"Yikang Chenxiong","2025-02-10 18:34:13",1.00000,4,yikangchenxiong
65,13322276,"Shiyi Chen","2025-02-10 19:18:37",1.00000,3,cassiechen97
66,13322378,"Johnson Liang Tan","2025-02-10 19:52:02",1.00000,4,johnsonliangtan
67,13322538,"Yiming Yu1127","2025-02-10 20:40:44",1.00000,3,yimingyu1127
68,13322574,ZongyiZhang0125,"2025-02-10 20:51:52",1.00000,3,zongyizhang0125
69,13322649,"Nissar Kotadia","2025-02-10 21:19:25",1.00000,3,nissarkotadia
70,13322730,TianYu_Wong_2025,"2025-02-10 21:53:26",1.00000,3,tianyuwong2025
71,13322747,"Caroline Francoo","2025-02-15 15:48:20",1.00000,4,carolinefrancoo
72,13322695,"Weiyi Huang","2025-02-10 22:02:25",1.00000,3,kevhua888
73,13323009,"HENGYI YU","2025-02-10 23:53:27",1.00000,3,hengyiyu
74,13323190,"Hissamuddin Shaikh","2025-02-11 01:14:28",1.00000,3,hissamuddinshaikh
75,13323210,"Kelu Yin","2025-02-11 01:18:28",1.00000,4,keluyin
76,13323359,"BinKen Pang","2025-02-11 02:12:48",1.00000,3,binkenpang
77,13323422,"Ziang Wang","2025-02-11 02:40:29",1.00000,3,zdavidwang
78,13323551,"Julia Li #2","2025-02-11 03:34:02",1.00000,3,juliali0112
79,13323705,"Kalyan Kuruva","2025-02-11 04:22:02",1.00000,3,kalyankuruva
80,13323790,"Kaiwei Luo","2025-02-11 04:51:23",1.00000,3,kaiweiluo
81,13323793,CheAnC,"2025-02-11 04:52:36",1.00000,3,cheanc
82,13323927,"Zhiyue Yang111","2025-02-11 05:41:26",1.00000,3,zhiyueyang111
83,13323985,"Sameena Bade","2025-02-11 05:55:47",1.00000,3,sameenabade
84,13324166,"Yuxing Chen #2","2025-02-11 06:44:19",1.00000,3,yuxingchen
85,13324242,Y__Y,"2025-02-11 07:03:05",1.00000,3,yynotavailable
86,13324270,Tom123,"2025-02-11 07:09:59",1.00000,3,tom1231
87,13324511,"Ruoxi Zhang28955696","2025-02-11 08:10:47",1.00000,4,ruoxizhang28955696
88,13324849,"Akhila Dubbaka","2025-02-11 09:33:31",1.00000,4,akhiladubbaka
89,13325533,"Wang Chun07","2025-02-24 02:00:05",1.00000,2,wangchun07
90,13327463,"pengfei shao","2025-02-11 20:06:31",1.00000,3,pengfeishao222
91,13327855,"Luca Scheibler","2025-02-11 22:41:13",1.00000,3,lucascheibler
92,13328148,"Hajera Begum","2025-02-12 00:49:06",1.00000,3,hbegum95
93,13328257,"Waseema Begum","2025-02-12 01:34:22",1.00000,3,wbegum2000
94,13328301,PrashidhaKarki,"2025-02-12 01:58:45",1.00000,3,prashidhakarki
95,13328305,"HAONAN LIU3","2025-02-12 02:02:08",1.00000,3,haonanliu3
96,13328350,"Nienchen Lee","2025-02-12 02:17:32",1.00000,3,nienchenlee
97,13328640,"Zhaosong Zhu","2025-02-12 03:53:18",1.00000,3,zhaosong
98,13328677,"Yuqiao Zhu","2025-02-12 04:11:31",1.00000,4,mrgeorgezhu
99,13328687,"Zehui Zhan","2025-02-12 04:16:54",1.00000,3,zehuizhan
100,13328712,"Amir Khan Mohammed","2025-02-12 04:26:25",1.00000,3,amirkhanmohammed
101,13328717,"Fnu Mariya Fatima","2025-02-12 04:27:26",1.00000,3,fnumariyafatima
102,13328720,"Sree Lakshmi Vineetha ","2025-02-12 04:29:01",1.00000,3,sreelakshmivineetha
103,13328729,"Rui Chang1","2025-02-12 04:32:44",1.00000,3,ruichang1
104,13328792,"Prasanna Tarun Teja","2025-02-12 04:56:49",1.00000,3,prasannatarunteja
105,13328814,xinyhuuu,"2025-02-12 05:02:58",1.00000,3,xinyhuuu
106,13328880,"Vaishnavi Avinash Jamdade","2025-02-12 05:26:51",1.00000,3,vaishnaviajamdade
107,13328940,"Lilly Li #2","2025-02-12 05:47:37",1.00000,3,lillylili
108,13328979,"Jocelyn Novecia","2025-02-12 06:04:19",1.00000,4,jocelynovecia
109,13329097,"Dinakar Kunduru","2025-02-12 06:29:40",1.00000,3,dinakarkunduru
110,13329109,"KHAJA OSMAN MOHAMMED","2025-02-12 06:32:39",1.00000,3,khajaosmanmohammed
111,13329107,"Xinyi Liu24","2025-02-12 06:32:52",1.00000,3,xinyiliu24
112,13329117,"Mohammed mosaib","2025-02-12 06:34:11",1.00000,3,mohammedmosaib
113,13329121,"Imaan Fatima","2025-02-12 06:36:53",1.00000,3,imaanfatima24
114,13329129,"Mohammad Salman","2025-02-12 06:39:33",1.00000,3,mohammadsalman244
115,13329139,"Hritik Dilawari","2025-02-12 06:40:47",1.00000,3,hritikdilawari
116,13329138,"Ritesh Reddy Maddala","2025-02-12 06:41:14",1.00000,3,riteshreddymaddala
117,13329051,"Yunsheng Duan","2025-02-12 06:41:57",1.00000,4,yunshengduan
118,13329151,"Sohail Mohamed23","2025-02-12 06:44:20",1.00000,3,sohailmohamed23
119,13329157,"DOLLY KRISHNA PRIYA","2025-02-12 06:45:11",1.00000,3,dollykrishnapriya
120,13329164,"Shashank Reddy7","2025-02-12 06:47:22",1.00000,3,shashankreddy7
121,13329166,"Rakesh Veldandi","2025-02-12 06:47:45",1.00000,3,rakeshveldandi
122,13329171,rscruz24,"2025-02-12 06:49:54",1.00000,3,rscruz24
123,13329186,"Sravani repalli","2025-02-12 06:52:40",1.00000,3,sravanirepalli
124,13329203,"Raghavendra kamineni","2025-02-12 06:55:43",1.00000,3,raghavendrakamineni
125,12656679,"Patel Krushang","2025-02-12 07:01:26",1.00000,3,patelkrushang
126,13329232,"Maneesha Gouru","2025-02-12 07:03:37",1.00000,3,maneeshagouru
127,13329242,"Marzia Fatima Syeda ","2025-02-12 07:05:43",1.00000,3,marziafatimasyeda
128,13329247,"Mohammad Suhaibuddin","2025-02-12 07:07:28",1.00000,3,mohammadsuhaibuddin
129,12656603,"Muhammed Omaar","2025-02-12 07:10:50",1.00000,3,muhammedomaar
130,13329281,ColdMilkOnly,"2025-02-12 07:15:25",1.00000,3,coldmilkonly
131,13329646,RayRayX,"2025-02-12 08:42:10",1.00000,4,rayrayx
132,13329845,"Shivansh Ranjan","2025-02-12 11:23:08",1.00000,3,shivanshranjan390
133,10525712,"Naoya #4","2025-02-12 11:53:55",1.00000,2,takashimanaoya
134,13330641,"Joung Eun Choi","2025-02-12 13:00:45",1.00000,4,joungeunchoi
135,13331069,"Reddy Venkata ram teja","2025-02-12 14:50:13",1.00000,3,reddyvenkataramteja
136,13331300,"Rohit Ghali","2025-02-12 15:35:46",1.00000,3,rohitghali
137,13331340,"mingyu li","2025-02-12 15:41:20",1.00000,3,mingyuli285
138,13331704,"Hang Yang #3","2025-02-12 17:17:45",1.00000,3,hangyang2019
139,13331743,"harsha v","2025-02-12 17:24:05",1.00000,4,harshadevops
140,13331783,"Sai Vamsi Nindra","2025-02-12 17:29:43",1.00000,3,saivamsinindra
141,13331869,"Mahwish Barkat Ali","2025-02-12 17:57:41",1.00000,3,mahwishbarkatali
142,13331896,"Kshitiz Thapa","2025-02-12 18:05:29",1.00000,3,kshitizthapa111
143,13332081,"Samantha #5","2025-02-12 18:56:48",1.00000,4,samanthaj0605
144,13332156,"Jiarui Liu 126","2025-02-12 19:19:53",1.00000,4,jiaruiliu126
145,13332294,yz_jasmine,"2025-02-12 20:06:01",1.00000,3,yzjasmine
146,13332303,"QINHENG CHEN","2025-02-12 20:09:50",1.00000,3,qinhengchen
147,13332457,"Dan Zhao","2025-02-12 21:00:38",1.00000,3,dannytxzhao
148,13332510,"Chenxin Tan","2025-02-12 21:16:48",1.00000,3,chenxintan
149,13332497,"Geeta Kiran Pila","2025-02-12 21:17:11",1.00000,3,geetakiranpila
150,13332527,"Rohitha Makani","2025-02-12 21:22:10",1.00000,3,rohithamakani
151,13332557,"Nimisha Thakur","2025-02-12 21:36:01",1.00000,3,nthakur01
152,13332566,"Johnny Ning","2025-02-12 21:40:27",1.00000,3,johnnyning
153,13332565,"FNU Sahil","2025-02-12 21:42:14",1.00000,3,fnusahil
154,13332575,"hongen guan","2025-02-12 21:44:09",1.00000,3,hongenguan
155,13332580,michaelsqb,"2025-02-12 21:46:19",1.00000,3,michaelsqb
156,13332596,"Ahmed Mujtaba Ali","2025-02-12 21:53:19",1.00000,4,ahmedmujtabaali
157,13332617,"Adwait More","2025-02-12 22:06:08",1.00000,3,adwaitsmore
158,13332644,"Suha Shireen","2025-02-12 22:16:45",1.00000,3,suhashireen
159,13332652,"Jingtong Gao","2025-02-12 22:20:49",1.00000,3,jingtonggao9
160,13332659,"Manish Thakur #2","2025-02-12 22:23:10",1.00000,3,manish0834
161,13332663,"Chia I Lin","2025-02-12 22:24:17",1.00000,3,chiailinnn
162,13332672,"Sweshika Varma Guntumadugu","2025-02-12 22:27:20",1.00000,3,ken7777
163,13332731,"Tay Zhou","2025-02-12 22:47:30",1.00000,3,mingfeizhou
164,13332768,"Aviva Hu","2025-02-12 23:03:13",1.00000,3,avivahu123
165,13332860,"Peng Dengwu","2025-02-12 23:36:04",1.00000,3,pengdengwu
166,13332871,"Yi Ji #2","2025-02-12 23:42:21",1.00000,3,jy846366
167,13332890,"Liwei Lu","2025-02-12 23:51:40",1.00000,3,ricardoluliwei
168,11322303,"Fnu Abdul Raheem Khan","2025-02-13 00:12:16",1.00000,4,wanyamadomian
169,13332940,WsrSherry,"2025-02-13 00:08:46",1.00000,3,wsrsherry
170,13332950,"Euphie Zhou","2025-02-13 00:13:44",1.00000,3,euphiezhou
171,13332985,"Zarif Sami","2025-02-13 00:29:56",1.00000,4,zarifsami
172,13333012,Lk19980824,"2025-02-13 00:42:41",1.00000,3,lk19980824
173,13333029,"Sijia Chen","2025-02-13 00:51:13",1.00000,3,sijiachen0928
174,13333042,"Bingcong Ye","2025-02-13 00:58:52",1.00000,3,jipuying
175,13333052,"Zicheng Du","2025-02-13 01:01:41",1.00000,4,zichengdu
176,13333058,Yanyi_Liu_2420,"2025-02-13 01:02:42",1.00000,3,yanyiliu2420
177,13333087,"Shreyas Ghiware","2025-02-13 01:18:03",1.00000,4,shreyasghiware
178,13333094,hgjshggbvg234~,"2025-02-13 01:19:13",1.00000,3,hgjshggbvg234
179,13333102,"Ralph Tirivanhu","2025-02-13 01:22:04",1.00000,3,ralphtirivanhu
180,13333111,Gulnaz-18,"2025-02-13 01:29:37",1.00000,4,gulnaz18
181,13333119,"Wen Wang","2025-02-13 01:31:08",1.00000,3,wenwenwangwang
182,13333120,ITChiang,"2025-02-13 01:35:58",1.00000,4,itchiang
183,13333141,"Jingbo Jiang #2","2025-02-13 01:37:44",1.00000,4,jingbojiang001
184,13333155,"Yue Zhu","2025-02-13 01:42:44",1.00000,3,zechariahyz
185,13333163,"Soham #5","2025-02-13 01:46:15",1.00000,3,sohamtembe912
186,13333168,"Beckeay Ky","2025-02-13 02:00:27",1.00000,5,beckeayky
187,13333249,xtshi97,"2025-02-13 02:08:44",1.00000,3,xtshi97
188,13333255,"Hongyan Qu","2025-02-13 02:09:55",1.00000,3,hongyanqu
189,13333272,"BingHeng Lyu","2025-02-13 02:13:46",1.00000,3,binghenglyu
190,13333284,"Madhavi Thoutam","2025-02-13 02:18:01",1.00000,3,mthoutam
191,13333299,"Sayantan Roy","2025-02-13 02:23:47",1.00000,3,santii00
192,13333308,"Sai Vardhan Reddy Kasarla","2025-02-13 02:27:05",1.00000,3,saivardhankasarla
193,13333313,"Mengqi Chen","2025-02-13 02:30:18",1.00000,3,mengqichen62
194,13333332,CamilaPon,"2025-02-13 02:37:07",1.00000,3,camilapon
195,13333364,"feiyan zhang","2025-02-13 02:45:42",1.00000,3,feiyanzhang56
196,13333367,RoyGRT,"2025-02-13 02:46:48",1.00000,3,roygrt
197,13333380,"Luobin Xi","2025-02-13 02:48:22",1.00000,3,luobinxi
198,13333396,"willa Z","2025-02-13 02:51:27",1.00000,3,willazzzx
199,13333405,"Sunita Khadka","2025-02-13 02:53:41",1.00000,3,sunitakh
200,13333432,"Chien-Yi Wang #2","2025-02-13 03:02:06",1.00000,3,chienyiwangsw
201,13333450,"Binh Quoc Thai Bui","2025-02-13 03:08:50",1.00000,3,binhquocthaibui
202,13333456,"Yanru Zhu","2025-02-13 03:11:04",1.00000,3,yanruzhu
203,13333480,"ES Durak","2025-02-13 03:18:17",1.00000,3,esdurak
204,13333476,"Alice Shao","2025-02-13 03:22:58",1.00000,4,aliceshao
205,13333447,hzz288,"2025-02-13 03:30:08",1.00000,5,hzz288
206,13333529,ChangxinXu666,"2025-02-13 03:31:29",1.00000,3,changxinxu666
207,13333533,"Pingyuan Hong","2025-02-13 03:31:42",1.00000,3,pingyuanhong
208,13333554,WSYing,"2025-02-13 03:42:58",1.00000,3,wsying
209,13333572,"Xiangliang Liu","2025-02-13 03:45:45",1.00000,3,xiangliangliu
210,13333617,"Xia Hua","2025-02-13 03:53:54",1.00000,3,tonyxiahua
211,13333643,"Wayne Wilbourn","2025-02-13 04:04:21",1.00000,3,waynewilbourn
212,13333648,chengnongwu,"2025-02-13 04:04:36",1.00000,3,chengnongwu
213,13333655,"Xinyi Li #3","2025-02-13 04:07:25",1.00000,3,xinyili176
214,13333664,ShivamTrine,"2025-02-13 04:11:12",1.00000,3,shivamtrine
215,521774,xinxintang,"2025-02-13 04:14:07",1.00000,3,xinxintang
216,13333638,"HAIKAI ZHAO","2025-02-13 05:32:49",1.00000,3,haikaizhao
217,13333705,"Akshar Korlepara","2025-02-13 04:26:50",1.00000,4,aksharkorlepara
218,13333738,Dineshji25,"2025-02-13 04:42:06",1.00000,3,dineshji25
219,13333739,"Yamini Kurra","2025-02-13 04:42:42",1.00000,3,yaminikurra
220,13334071,YimingWang0620,"2025-02-13 06:22:47",1.00000,3,yimingwang0620
221,13334132,linhong,"2025-02-13 06:38:51",1.00000,3,waspjo
222,11605435,"Yonathan Levy","2025-02-13 09:18:01",1.00000,1,yonathanlevy
223,13334855,"Asutosh Srivastav","2025-02-13 10:04:39",1.00000,4,asutoshsrivastav
224,13334952,"Liam Wang #2","2025-02-13 09:35:35",1.00000,3,liamwang98
225,13336817,mohammedhassan1999,"2025-02-13 17:10:44",1.00000,4,mohammedhassan1999
226,13337304,"Henrique Maria","2025-02-13 18:26:47",1.00000,1,henriquemaria
227,13338283,"Yanshu Cai","2025-02-13 22:49:28",1.00000,3,yanshucai
228,13338815,"Abdul Basheer Mohammed","2025-02-14 01:25:12",1.00000,3,abdulbasheermohammed
229,13339872,MohammedAdnank9,"2025-02-14 05:29:54",1.00000,4,mohammedadnank9
230,13339967,"Jinhee Ham","2025-02-14 05:51:48",1.00000,3,jinheeham
231,11458507,"LAUVF PITIPAK","2025-02-14 13:38:36",1.00000,1,lauvfpitipak
232,13281111,amyxie1,"2025-02-16 22:38:39",1.00000,16,amyxie1
233,13332863,"Afrooz Haghbin","2025-02-28 22:11:46",1.00000,120,afroozhaghbin
234,13344512,"Rajratna Patil","2025-02-15 01:42:09",1.00000,3,rajratnapatil
235,13344749,"vraj patel #2","2025-02-15 03:33:23",1.00000,3,vrajpatel98
236,13347832,HPRNUS,"2025-02-15 17:41:21",1.00000,3,hprnus
237,13348229,"Kavitha Nandina","2025-02-15 20:34:52",1.00000,3,kavithanandina
238,13348647,"Danny Kuo","2025-02-16 00:48:43",1.00000,3,dannykuo
239,13348652,上方谷晴,"2025-02-16 01:07:49",1.00000,6,randyc137
240,13348765,"Adloori Hrushyang","2025-02-16 01:57:07",1.00000,3,adloorihrushyang
241,13348781,"You-Hsin Chen","2025-02-16 02:02:54",1.00000,3,youhsinchen24
242,13348938,"Shabana Khatoon","2025-02-16 03:28:35",1.00000,3,shabanakhatoon24
243,13349626,"Shravya Mutyapu","2025-02-16 08:03:36",1.00000,3,shravyamutyapu
244,13350883,"Jiayi Dong","2025-02-16 14:15:25",1.00000,3,jiayidong
245,13351471,"B Priyanka","2025-02-16 16:52:21",1.00000,3,bpriyanka05
246,13351826,KeerthiMekala,"2025-02-16 18:39:50",1.00000,3,keerthimekala2
247,13351876,"Peng Yuan Zhou","2025-02-16 18:57:41",1.00000,3,pengyuanzhou
248,13351878,"Shruti Gupta #6","2025-02-16 18:59:27",1.00000,3,shrutigupta54
249,13352022,"Chutong Cao","2025-02-16 19:55:44",1.00000,3,chutongccao24
250,13352105,"Mask seal","2025-02-16 20:33:01",1.00000,3,maskseal
251,13352170,"guangchao zhu","2025-02-16 21:04:23",1.00000,3,guangchaozhu
252,13352338,"Yashesh Pandya72","2025-02-16 22:17:10",1.00000,3,yasheshpandya72
253,13352412,Milcarellano,"2025-02-16 22:56:20",1.00000,3,milcarellano
254,13352549,"Val Zhang 2024","2025-02-17 00:09:41",1.00000,3,valzhang2024
255,3869445,"Emma #2","2025-02-17 00:11:09",1.00000,3,yw3085
256,13352584,"sonali #2","2025-02-17 00:44:00",1.00000,4,sonalid97
257,13352667,"Zhefan Ye","2025-02-17 01:12:36",1.00000,3,zhefanye
258,13352719,"Bryan Yu","2025-02-17 01:42:25",1.00000,1,yushifu824
259,13352841,Minhanh2801,"2025-02-17 02:35:24",1.00000,3,minhanh2801
260,13352879,EffieSun,"2025-02-17 02:46:36",1.00000,3,effiesun
261,13353103,"Wenjing HanDT","2025-02-17 03:58:20",1.00000,3,wenjinghandt
262,13353151,"Kuzivakwashe D Hwema","2025-02-17 04:18:26",1.00000,3,kuzivakwashedhwema
263,13353198,"Fazil Ali Syed","2025-02-17 04:31:43",1.00000,3,fazilalisyed
264,13353256,"Eli Tulowitzky","2025-02-17 04:42:50",1.00000,3,elitulowitzky
265,13353312,"Amisha Bhatta","2025-02-17 04:58:45",1.00000,3,amishabhatta
266,13354589,Caocious,"2025-02-17 10:50:54",1.00000,2,caocious
267,13357548,"kosko budoor","2025-02-18 00:02:32",1.00000,5,koskobudoor
268,13362587,SunChoi27,"2025-02-19 04:48:48",1.00000,12,sunchoi27
269,13361465,"zf c666666","2025-02-19 06:21:37",1.00000,9,zfc666666
270,13363689,"yuchao zhang #2","2025-02-19 04:56:01",1.00000,3,yuchaozhangmmm
271,13372087,"Samuel Bolufemi","2025-02-19 22:36:13",1.00000,3,samuelbolufemi
272,13373102,"Payton Rhodes","2025-02-20 04:37:22",1.00000,3,paytonrhodes
273,13375053,Agzam,"2025-02-20 11:50:46",1.00000,1,mazgas
274,13314893,lauchokyip1998,"2025-02-20 16:59:15",1.00000,4,lauchokyip1998
275,13380050,LianLiu,"2025-02-21 07:22:14",1.00000,1,lianliu07
276,1468363,"Junkyu Park","2025-02-22 13:45:47",1.00000,4,jk7ironman
277,13388637,Datascience_engineering,"2025-03-01 23:20:56",1.00000,8,dsengineering
278,13353278,"seongeun #2","2025-02-23 22:15:12",1.00000,3,seongeun12
279,13369773,"Amey Mohile","2025-02-24 06:36:08",1.00000,7,ameyyymohile
280,13331993,"Iyed Djebbi","2025-02-25 14:52:53",1.00000,4,iyeddjebbi
281,13401507,MiestoMeska,"2025-02-25 21:08:33",1.00000,1,miestomeska
282,12990032,"Muhammad Salman Anwar","2025-02-26 20:29:11",1.00000,1,msalmananwar33
283,13333595,"Nithya Shree R","2025-03-03 10:20:08",1.00000,10,nithyar26
284,13426219,Ras,"2025-03-02 13:42:05",1.00000,2,ras0qq
285,13333584,"Harshad S 23BFN0011","2025-03-02 16:02:25",1.00000,3,harshads23bfn0011
286,12689008,"hato bai","2025-03-03 05:58:57",1.00000,1,hatobai
287,13333591,"Shakthiswaran N J","2025-03-03 08:55:45",1.00000,3,shakthiswarannj
288,13339463,"Rohith Rohan","2025-03-03 09:01:41",1.00000,2,rohithrohan
289,13333589,"D KARTHI GEYAN  ","2025-03-03 09:10:36",1.00000,3,dkarthigeyan
290,13339237,"Vishnu Vinod","2025-03-03 09:26:33",1.00000,8,vishnuvinod7
291,13333623,"Likith M B 23BFN0022","2025-03-03 09:32:18",1.00000,6,likithmb23bfn0022
292,13339244,"abel gigi","2025-03-03 09:34:48",1.00000,4,abelgigi
293,13333585,Ramasubramaniam.P,"2025-03-03 09:51:12",1.00000,3,ramasubramaniam18
294,13430112,vikramadhithyan74,"2025-03-03 09:51:48",1.00000,1,vikramadhithyan74
295,13333613,"Gayathri Sai","2025-03-03 09:57:09",1.00000,2,gayathrisai0612
296,13339188,johnwycliff2023,"2025-03-03 09:58:58",1.00000,1,johnwycliff2023
297,13345014,Karthika.BV,"2025-03-03 10:03:09",1.00000,2,karthikabv
298,13339251,"NISHEETHA VIJI","2025-03-03 10:06:30",1.00000,6,nisheethaviji
299,13333592,"Bharathipriya Vijayan","2025-03-03 10:08:05",1.00000,4,bharathipriya07
300,13333596,"Sai Manasa VD","2025-03-03 10:08:35",1.00000,6,saimanasavd
301,13333604,"Mahalakshmi GN vit","2025-03-03 10:09:17",1.00000,7,mahalakshmignvit
302,13333593,Kanishka_73,"2025-03-03 10:14:43",1.00000,8,kanishka73
303,13333587,"Trisha Subramani ","2025-03-03 10:15:32",1.00000,3,trisha2005
304,13339398,"Gopinath P 23BFN0018","2025-03-03 10:38:32",1.00000,3,gopinathp23bfn0018
305,13430337,"kalai arasan.M","2025-03-03 10:41:04",1.00000,1,kalaiarasan61
306,13333611,"Srinivasan.S 23BFN0004","2025-03-03 10:45:43",1.00000,11,srinivasan13920
307,13430367,"Priyanka Bathe","2025-03-03 10:46:20",1.00000,1,priyankabathe
308,13430385,"Likesh V","2025-03-03 10:51:46",1.00000,2,likeshv
309,13430400,"Krithika R 23BFN0067","2025-03-03 10:58:09",1.00000,2,krithikar23bfn0067
310,13430430,"Nithish 23BFN0042","2025-03-03 11:00:47",1.00000,1,nithish23bfn0042
311,13333620,"Dhanush G","2025-03-03 11:00:52",1.00000,2,dhanush63636663
312,13430437,"Akshay Swamy 23BFN0010","2025-03-03 11:03:48",1.00000,2,akshayswamy23bfn0010
313,13333614,Dharun0426,"2025-03-03 11:08:18",1.00000,5,dharun0426
314,13430464,"Shambhavi Ramesh","2025-03-03 11:09:06",1.00000,2,shambhaviramesh
